S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,GOVT RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
2006,273572,142.5,75753,5441,4969,CS,OC
2007,404619,142.5,75754,5442,2752,EE,OC
2008,287306,142.5,75775,5444,3860,CS,OC
2009,410972,142.5,75795,5446,1114,EC,OC
2010,301141,142.5,75802,5447,2357,IT,MBC
2011,305128,142.5,75838,5448,1241,CS,OC
2012,321781,142.5,75854,5449,2736,EC,MBC
2013,212768,142.5,75880,5451,1123,SC,OC
2014,302512,142.5,75891,5452,1412,IT,BC
2015,350498,142.5,75920,5453,1211,CH,BC
2016,226040,142.5,75924,5454,1419,EC,SC
2017,274461,142.5,75934,5455,3811,IT,OC
2018,259541,142.5,75955,5457,2601,IT,BC
2019,254547,142.5,75976,5459,2347,IT,OC
2020,370068,142.5,75985,5460,1226,EE,OC
2021,285898,142.5,75991,5461,1120,AD,BC
2022,296513,142.5,76003,5462,2618,CE,BC
2023,211542,142.5,76031,5463,2721,AU,OC
2024,411186,142.5,76049,5464,5915,EC,OC
2025,326779,142.5,76052,5465,2623,IT,MBC
2026,282023,142.5,76061,5466,2634,AD,SCA
2027,246724,142.5,76088,5469,1128,AD,SC
